"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"04.06.2020","201,46","207,99","207,99","200,60","72,25M","-3,14%"
"03.06.2020","208,00","203,07","208,15","202,01","65,27M","2,99%"
"02.06.2020","201,97","199,44","202,19","198,72","45,34M","1,64%"
"01.06.2020","198,72","200,25","202,47","197,15","54,26M","-0,62%"
"29.05.2020","199,95","196,25","199,95","193,20","172,68M","1,57%"
"28.05.2020","196,86","194,36","196,98","194,17","39,98M","1,09%"
"27.05.2020","194,73","196,05","197,75","193,15","55,32M","-1,08%"
"26.05.2020","196,86","198,95","202,30","196,30","66,18M","-0,35%"
"25.05.2020","197,55","195,10","197,55","195,10","20,06M","1,65%"
"22.05.2020","194,35","194,00","195,76","192,21","42,41M","-0,20%"
"21.05.2020","194,74","196,05","199,26","191,40","90,17M","-1,02%"
"20.05.2020","196,74","193,57","197,27","192,79","73,86M","1,31%"
"19.05.2020","194,20","193,00","194,39","191,10","60,40M","0,88%"
"18.05.2020","192,50","185,50","192,50","185,14","60,17M","4,70%"
"15.05.2020","183,85","185,61","186,98","183,85","47,92M","-0,03%"
"14.05.2020","183,91","183,23","184,85","181,68","49,41M","-0,16%"
"13.05.2020","184,20","185,55","185,55","183,80","33,28M","-1,06%"
"12.05.2020","186,17","184,89","187,20","183,20","49,98M","0,45%"
"08.05.2020","185,34","186,33","186,64","183,10","61,00M","-0,27%"
"07.05.2020","185,85","187,50","190,30","185,50","67,28M","-0,64%"
"06.05.2020","187,05","190,53","191,05","187,05","46,40M","-1,55%"
"05.05.2020","190,00","188,39","190,39","187,30","39,66M","2,32%"
"04.05.2020","185,70","188,00","188,17","184,52","42,98M","-2,26%"
"30.04.2020","190,00","195,44","196,20","189,62","72,12M","-2,00%"
"29.04.2020","193,87","189,90","195,23","188,53","56,26M","2,85%"
"28.04.2020","188,50","185,93","190,65","185,76","44,19M","1,19%"
"27.04.2020","186,29","186,53","188,47","185,69","23,62M","0,31%"
"24.04.2020","185,71","187,95","187,95","185,10","36,74M","-1,60%"
"23.04.2020","188,73","189,98","191,59","187,50","39,98M","0,20%"
"22.04.2020","188,36","181,08","188,55","180,33","48,27M","3,54%"
"21.04.2020","181,92","183,15","184,50","179,05","66,95M","-1,94%"
"20.04.2020","185,51","184,12","186,25","183,00","34,29M","0,45%"
"17.04.2020","184,68","187,06","187,87","183,54","38,78M","0,21%"
"16.04.2020","184,30","185,15","189,16","182,75","56,39M","0,03%"
"15.04.2020","184,25","189,15","189,48","182,56","53,71M","-3,08%"
"14.04.2020","190,11","189,73","191,76","188,30","50,62M","1,08%"
"13.04.2020","188,07","192,26","192,36","186,07","28,55M","-2,05%"
"10.04.2020","192,00","191,89","192,44","190,51","17,05M","-0,96%"
"09.04.2020","193,86","195,69","196,26","189,88","84,34M","-0,13%"
"08.04.2020","194,11","189,70","194,11","188,10","49,27M","1,51%"
"07.04.2020","191,22","192,90","195,13","189,80","67,00M","0,06%"
"06.04.2020","191,10","192,24","193,44","189,44","62,93M","0,70%"
"03.04.2020","189,77","187,01","193,85","185,72","92,36M","1,46%"
"02.04.2020","187,04","183,80","190,00","180,25","87,83M","3,88%"
"01.04.2020","180,06","178,03","181,38","177,50","40,44M","-0,74%"
"31.03.2020","181,41","178,50","184,64","178,01","69,82M","2,82%"
"30.03.2020","176,44","171,99","177,63","170,50","47,98M","1,11%"
"27.03.2020","174,50","181,24","181,37","172,00","55,62M","-3,86%"
"26.03.2020","181,50","179,45","184,90","177,28","54,02M","0,72%"
"25.03.2020","180,20","183,00","186,90","175,26","114,69M","1,26%"
"24.03.2020","177,95","174,39","179,99","172,61","89,48M","5,70%"
"23.03.2020","168,35","171,00","172,28","168,04","109,20M","-4,49%"
"20.03.2020","176,26","180,00","184,69","176,10","139,85M","0,97%"
"19.03.2020","174,56","168,58","175,20","164,05","122,16M","4,94%"
"18.03.2020","166,34","164,90","170,45","162,00","106,17M","-0,40%"
"17.03.2020","167,00","169,00","175,50","164,56","108,15M","-0,64%"
"16.03.2020","168,07","163,00","169,99","158,17","116,00M","1,19%"
"13.03.2020","166,10","164,00","175,69","164,00","143,37M","1,45%"
"12.03.2020","163,73","163,00","167,80","161,20","151,37M","-4,82%"
"11.03.2020","172,03","174,00","175,87","167,39","108,63M","0,60%"
"10.03.2020","171,00","169,45","185,84","161,01","205,23M","-9,17%"
"06.03.2020","188,27","193,50","194,23","185,13","131,69M","-4,91%"
"05.03.2020","198,00","203,00","203,43","197,50","65,97M","-1,00%"
"04.03.2020","200,00","199,95","204,42","198,28","78,74M","-0,73%"
"03.03.2020","201,48","204,96","205,27","198,00","104,45M","1,36%"
"02.03.2020","198,78","208,00","211,99","195,51","151,65M","-1,91%"
"28.02.2020","202,65","210,00","211,97","200,57","169,60M","-6,83%"
"27.02.2020","217,50","220,99","223,40","216,80","83,03M","-3,23%"
"26.02.2020","224,76","223,32","225,47","220,81","63,75M","0,04%"
"25.02.2020","224,68","228,00","230,06","224,68","52,76M","-3,16%"
"21.02.2020","232,00","233,05","233,77","231,61","29,66M","-1,11%"
"20.02.2020","234,60","232,51","235,75","232,00","33,58M","1,16%"
"19.02.2020","231,90","231,81","233,50","230,71","24,43M","0,61%"
"18.02.2020","230,50","233,00","233,28","229,80","30,86M","-1,39%"
"17.02.2020","233,75","233,50","234,56","231,91","20,56M","0,54%"
"14.02.2020","232,50","233,79","235,40","230,91","34,35M","-0,45%"
"13.02.2020","233,55","236,90","237,98","233,55","42,02M","-1,88%"
"12.02.2020","238,03","235,30","239,80","234,56","83,20M","1,77%"
"11.02.2020","233,90","226,55","236,18","226,01","95,63M","3,86%"
"10.02.2020","225,20","228,50","229,75","224,41","50,88M","-1,71%"
"07.02.2020","229,11","232,38","233,39","227,14","49,94M","-0,98%"
"06.02.2020","231,38","234,00","236,00","230,15","42,62M","-0,51%"
"05.02.2020","232,56","230,89","235,73","228,80","62,00M","0,89%"
"04.02.2020","230,50","228,49","231,08","226,65","45,44M","1,26%"
"03.02.2020","227,64","223,80","229,98","223,80","54,24M","0,41%"
"31.01.2020","226,70","232,53","233,79","226,57","70,29M","-2,09%"
"30.01.2020","231,53","230,71","232,49","229,45","41,54M","-0,20%"
"29.01.2020","232,00","236,95","237,36","231,30","52,81M","-1,28%"
"28.01.2020","235,00","232,60","237,59","229,00","85,54M","1,75%"
"27.01.2020","230,96","235,00","235,40","229,65","105,33M","-2,94%"
"24.01.2020","237,95","240,12","243,25","235,28","69,05M","-0,56%"
"23.01.2020","239,30","246,71","247,66","239,01","73,88M","-3,55%"
"22.01.2020","248,10","252,81","253,39","248,10","38,89M","-1,93%"
"21.01.2020","252,99","253,25","253,40","250,88","27,03M","-0,20%"
"20.01.2020","253,50","255,66","256,10","253,01","29,97M","-0,74%"
"17.01.2020","255,39","254,75","256,60","253,80","42,16M","0,44%"
"16.01.2020","254,26","251,90","254,54","251,50","38,44M","1,18%"
"15.01.2020","251,30","249,50","252,50","247,75","43,98M","0,52%"
"14.01.2020","250,00","252,00","253,20","249,00","32,94M","-0,60%"
"13.01.2020","251,50","252,50","252,50","248,40","41,35M","-0,16%"
"10.01.2020","251,90","254,00","254,60","251,20","28,57M","-0,85%"
"09.01.2020","254,07","255,69","256,68","251,82","33,22M","-0,67%"
"08.01.2020","255,79","256,25","257,32","254,77","25,61M","-0,30%"
"06.01.2020","256,55","259,00","259,00","254,80","28,15M","-0,95%"
"03.01.2020","259,00","259,18","261,90","257,77","34,48M","1,01%"
"30.12.2019","256,40","257,10","258,30","254,71","23,50M","-0,28%"
"27.12.2019","257,11","254,31","257,49","254,00","24,23M","1,18%"
"26.12.2019","254,10","253,31","254,24","252,50","10,88M","0,34%"
"25.12.2019","253,25","255,00","255,49","253,02","12,31M","-0,64%"
"24.12.2019","254,87","255,61","257,71","254,26","22,78M","-0,05%"
"23.12.2019","255,00","251,50","255,20","251,11","38,33M","-0,20%"
"20.12.2019","255,50","252,75","256,58","252,22","60,31M","1,63%"
"19.12.2019","251,40","250,96","252,30","249,40","37,39M","0,04%"
"18.12.2019","251,29","252,00","252,71","250,85","29,21M","-0,30%"
"17.12.2019","252,05","251,23","252,86","250,80","31,64M","0,51%"
"16.12.2019","250,78","249,60","252,22","249,20","29,62M","0,51%"
"13.12.2019","249,50","251,11","252,48","248,80","41,80M","-0,39%"
"12.12.2019","250,48","247,64","254,66","247,35","78,73M","1,27%"
"11.12.2019","247,34","246,84","248,69","246,84","31,26M","0,18%"
"10.12.2019","246,90","248,99","250,15","246,50","34,82M","-0,72%"
"09.12.2019","248,70","247,90","250,22","247,40","32,40M","0,35%"
"06.12.2019","247,83","246,50","248,25","245,39","44,85M","0,60%"
"05.12.2019","246,36","249,50","250,30","244,77","61,69M","-1,03%"
"04.12.2019","248,93","248,50","251,96","246,40","59,29M","0,40%"
"03.12.2019","247,93","253,20","254,14","247,09","75,45M","-2,41%"
"02.12.2019","254,05","258,45","263,40","254,05","70,27M","-1,36%"
"29.11.2019","257,54","253,89","257,54","251,86","53,29M","1,39%"
"28.11.2019","254,00","253,46","254,43","251,35","29,78M","0,04%"
"27.11.2019","253,89","253,80","255,85","252,25","37,68M","-0,04%"
"26.11.2019","254,00","255,53","257,41","252,01","70,14M","-0,47%"
"25.11.2019","255,20","252,12","256,17","251,46","47,77M","1,27%"
"22.11.2019","251,99","253,10","257,72","250,13","92,53M","-0,93%"
"21.11.2019","254,35","252,00","259,80","250,01","222,76M","2,56%"
"20.11.2019","248,00","246,64","254,89","245,58","199,41M","-0,00%"
"19.11.2019","248,01","246,50","248,70","244,32","66,07M","0,76%"
"18.11.2019","246,15","250,00","250,40","245,62","52,85M","-0,75%"
"15.11.2019","248,01","248,50","250,47","245,00","89,35M","-0,13%"
"14.11.2019","248,34","252,56","253,46","244,80","127,69M","-1,37%"
"13.11.2019","251,80","256,11","257,19","250,79","87,80M","-2,12%"
"12.11.2019","257,25","260,81","264,57","256,13","61,52M","-1,21%"
"11.11.2019","260,40","265,00","265,45","259,80","42,79M","-2,11%"
"08.11.2019","266,00","269,92","270,20","264,45","33,45M","-1,75%"
"07.11.2019","270,74","266,01","272,68","264,66","56,18M","1,41%"
"06.11.2019","266,98","263,14","266,98","258,91","37,70M","1,51%"
"05.11.2019","263,00","266,00","267,53","261,31","36,85M","-0,30%"
"01.11.2019","263,79","260,10","264,28","256,35","51,03M","1,46%"
"31.10.2019","260,00","262,25","267,40","257,00","89,68M","-0,61%"
"30.10.2019","261,60","252,90","265,26","252,01","97,83M","3,36%"
"29.10.2019","253,10","244,03","253,69","241,40","70,83M","3,56%"
"28.10.2019","244,40","247,30","249,96","242,70","34,94M","-0,94%"
"25.10.2019","246,71","244,10","247,40","239,50","43,91M","1,14%"
"24.10.2019","243,94","236,41","244,00","236,41","47,64M","3,28%"
"23.10.2019","236,20","234,86","237,67","233,16","39,60M","0,36%"
"22.10.2019","235,36","228,58","235,36","228,28","42,88M","2,98%"
"21.10.2019","228,54","228,49","229,11","227,31","14,41M","0,24%"
"18.10.2019","228,00","227,88","228,90","227,20","16,56M","0,00%"
"17.10.2019","228,00","227,66","228,60","226,00","21,41M","0,13%"
"16.10.2019","227,70","226,00","227,90","225,11","17,80M","0,75%"
"15.10.2019","226,00","226,00","227,15","224,06","18,16M","0,00%"
"14.10.2019","226,00","227,37","228,61","225,50","14,70M","-0,60%"
"11.10.2019","227,37","225,00","227,50","224,82","18,39M","1,28%"
"10.10.2019","224,50","223,00","224,93","222,27","14,67M","0,59%"
"09.10.2019","223,18","223,10","224,71","221,72","14,92M","-0,01%"
"08.10.2019","223,20","226,53","227,70","222,71","22,26M","-1,40%"
"07.10.2019","226,36","221,90","226,81","220,68","22,39M","2,12%"
"04.10.2019","221,66","224,30","224,65","221,24","22,03M","-0,65%"
"03.10.2019","223,10","223,50","224,89","220,79","29,98M","-0,22%"
"02.10.2019","223,60","226,16","226,65","223,25","31,88M","-1,28%"
"01.10.2019","226,49","226,00","227,70","225,17","16,75M","0,26%"
"30.09.2019","225,90","229,05","229,46","225,90","26,48M","-1,36%"
"27.09.2019","229,01","231,92","232,14","229,01","13,57M","-1,28%"
"26.09.2019","231,97","228,74","233,70","228,31","40,42M","1,55%"
"25.09.2019","228,43","227,04","228,70","225,76","22,05M","0,32%"
"24.09.2019","227,70","230,36","230,68","227,19","22,37M","-1,15%"
"23.09.2019","230,36","230,50","231,25","228,87","16,89M","-0,02%"
"20.09.2019","230,41","230,75","231,00","228,50","34,65M","-0,05%"
"19.09.2019","230,52","233,11","233,28","230,06","31,66M","-1,26%"
"18.09.2019","233,46","233,00","233,96","232,30","12,28M","-0,05%"
"17.09.2019","233,58","234,53","235,17","232,36","28,34M","-0,55%"
"16.09.2019","234,88","233,98","234,88","232,57","29,14M","1,02%"
"13.09.2019","232,50","232,51","233,41","230,80","17,97M","-0,16%"
"12.09.2019","232,88","234,30","235,28","231,51","29,00M","-0,93%"
"11.09.2019","235,07","233,03","235,38","232,20","27,12M","0,89%"
"10.09.2019","233,00","234,32","235,10","232,02","24,06M","-0,79%"
"09.09.2019","234,85","235,00","235,62","233,00","16,64M","0,15%"
"06.09.2019","234,49","235,66","235,97","232,38","24,97M","-0,72%"
"05.09.2019","236,18","234,70","238,17","234,64","29,87M","1,06%"
"04.09.2019","233,71","232,70","234,78","232,18","27,53M","1,16%"
"03.09.2019","231,02","233,40","233,60","229,96","20,66M","-1,13%"
"02.09.2019","233,67","231,75","234,22","230,50","19,26M","0,65%"
"30.08.2019","232,15","233,69","233,85","231,07","22,03M","-0,45%"
"29.08.2019","233,20","228,85","235,25","228,67","47,58M","2,07%"
"28.08.2019","228,48","226,56","228,64","224,88","32,52M","0,65%"
"27.08.2019","227,00","228,92","229,28","223,00","55,77M","-0,83%"
"26.08.2019","228,90","228,88","230,60","228,05","11,24M","-0,20%"
"23.08.2019","229,35","232,70","233,04","228,93","29,02M","-1,17%"
"22.08.2019","232,06","230,90","233,98","230,21","26,49M","0,36%"
"21.08.2019","231,22","231,80","232,32","230,50","20,50M","-0,14%"
"20.08.2019","231,54","226,58","232,32","226,15","34,64M","2,09%"
"19.08.2019","226,80","225,99","227,20","223,65","19,13M","0,93%"
"16.08.2019","224,71","228,48","229,38","224,08","25,16M","-1,07%"
"15.08.2019","227,15","227,69","229,70","224,89","32,30M","0,02%"
"14.08.2019","227,10","231,10","231,19","224,58","35,84M","-1,21%"
"13.08.2019","229,87","229,88","232,16","226,46","35,15M","-0,16%"
"12.08.2019","230,24","231,06","232,97","229,29","15,93M","0,12%"
"09.08.2019","229,96","231,45","232,26","228,91","18,56M","-0,54%"
"08.08.2019","231,21","230,51","233,54","230,43","29,63M","1,55%"
"07.08.2019","227,67","226,90","232,67","225,50","49,73M","0,40%"
"06.08.2019","226,76","223,62","227,78","223,62","30,46M","1,41%"
"05.08.2019","223,61","226,00","228,00","222,30","53,37M","-1,89%"
"02.08.2019","227,91","231,10","233,17","227,91","59,30M","-2,72%"
"01.08.2019","234,28","234,54","237,34","233,29","31,28M","-1,11%"
"31.07.2019","236,90","237,41","239,64","234,44","45,44M","-0,08%"
"30.07.2019","237,10","236,10","237,13","232,37","44,06M","0,16%"
"29.07.2019","236,73","234,12","238,70","231,83","50,48M","1,07%"
"26.07.2019","234,23","217,00","236,00","217,00","181,11M","6,95%"
"25.07.2019","219,00","208,00","228,94","206,00","168,79M","3,30%"
"24.07.2019","212,00","218,47","218,47","210,51","44,52M","-2,48%"
"23.07.2019","217,39","217,50","221,17","216,76","34,74M","0,12%"
"22.07.2019","217,12","215,97","220,00","214,10","33,71M","0,52%"
"19.07.2019","216,00","219,50","220,43","215,37","20,03M","-1,05%"
"18.07.2019","218,30","219,00","219,80","215,77","30,87M","-0,86%"
"17.07.2019","220,19","223,56","224,03","218,63","49,43M","-7,49%"
"16.07.2019","238,01","240,01","240,40","235,83","40,88M","-0,95%"
"15.07.2019","240,30","246,98","248,08","240,10","35,98M","-2,12%"
"12.07.2019","245,50","247,00","247,80","244,00","21,63M","-0,69%"
"11.07.2019","247,20","250,00","250,69","245,00","43,06M","-1,20%"
"10.07.2019","250,21","250,75","251,48","248,80","33,02M","0,02%"
"09.07.2019","250,17","248,69","252,93","247,71","32,46M","0,67%"
"08.07.2019","248,51","250,09","250,96","245,20","39,35M","-0,95%"
"05.07.2019","250,89","255,32","255,96","250,12","36,24M","-1,75%"
"04.07.2019","255,35","251,60","256,40","250,61","43,49M","1,49%"
"03.07.2019","251,60","246,00","251,60","245,55","44,80M","2,01%"
"02.07.2019","246,65","246,25","249,26","243,70","31,53M","0,47%"
"01.07.2019","245,50","234,10","248,43","234,10","79,85M","5,44%"
"28.06.2019","232,83","233,20","235,47","232,35","42,49M","0,10%"
"27.06.2019","232,60","233,00","234,93","232,60","22,24M","-0,21%"
"26.06.2019","233,10","232,51","233,60","232,00","19,24M","0,44%"
"25.06.2019","232,09","232,01","232,19","229,64","21,54M","-0,12%"
"24.06.2019","232,38","229,54","233,04","229,47","22,08M","1,44%"
"21.06.2019","229,09","232,52","232,52","228,85","47,10M","-1,48%"
"20.06.2019","232,52","234,00","234,45","231,45","44,89M","0,03%"
"19.06.2019","232,46","232,50","235,42","232,00","31,84M","0,14%"
"18.06.2019","232,13","229,67","232,30","228,30","32,23M","1,01%"
"17.06.2019","229,81","231,58","234,44","229,63","32,36M","-0,73%"
"14.06.2019","231,51","234,13","235,44","231,26","25,41M","-1,25%"
"13.06.2019","234,44","233,74","237,35","233,01","35,41M","-0,18%"
"11.06.2019","234,86","232,32","237,63","231,13","44,89M","1,19%"
"10.06.2019","232,10","230,85","234,30","230,40","30,62M","0,69%"
"07.06.2019","230,50","233,77","233,77","230,00","42,25M","-0,41%"
"06.06.2019","231,45","230,00","236,62","228,71","55,26M","0,63%"
"05.06.2019","230,01","230,24","233,30","228,04","40,24M","-0,07%"
"04.06.2019","230,16","233,50","235,59","223,52","109,61M","-2,27%"
"03.06.2019","235,51","214,41","251,65","213,50","218,66M","9,49%"
"31.05.2019","215,10","212,00","215,27","210,05","43,76M","0,94%"
"30.05.2019","213,10","207,90","216,45","207,57","77,21M","2,88%"
"29.05.2019","207,14","202,11","207,69","201,11","42,94M","1,97%"
"28.05.2019","203,13","206,00","206,00","201,00","61,17M","-1,49%"
"27.05.2019","206,20","204,25","206,60","200,84","28,13M","0,83%"
"24.05.2019","204,50","209,49","210,20","203,76","29,04M","-2,09%"
"23.05.2019","208,86","207,00","212,18","205,84","54,53M","0,37%"
"22.05.2019","208,10","208,92","210,11","206,33","35,10M","0,14%"
"21.05.2019","207,80","201,30","210,98","199,01","90,77M","3,49%"
"20.05.2019","200,80","200,20","201,48","198,30","27,30M","0,96%"
"17.05.2019","198,89","201,80","202,30","197,71","49,62M","-1,88%"
"16.05.2019","202,70","194,31","203,45","194,24","100,06M","3,62%"
"15.05.2019","195,61","193,00","198,40","192,29","135,54M","3,13%"
"14.05.2019","189,67","163,00","190,90","162,65","182,19M","16,36%"
"13.05.2019","163,00","163,48","164,34","163,00","16,95M","-0,37%"
"10.05.2019","163,61","163,60","164,90","162,62","16,16M","0,02%"
"08.05.2019","163,57","164,50","165,44","163,55","17,90M","-0,39%"
"07.05.2019","164,21","165,00","166,27","164,21","19,35M","-0,75%"
"06.05.2019","165,45","165,00","165,45","163,34","15,57M","-0,52%"
"03.05.2019","166,31","166,20","166,98","165,83","13,23M","0,36%"
"02.05.2019","165,71","163,67","166,85","163,67","20,69M","1,07%"
"30.04.2019","163,95","164,10","165,40","163,01","31,33M","0,01%"
"29.04.2019","163,93","161,20","164,74","160,68","31,20M","1,82%"
"26.04.2019","161,00","159,03","161,00","158,58","17,63M","1,06%"
"25.04.2019","159,31","160,25","160,95","158,80","21,71M","-0,78%"
"24.04.2019","160,57","162,91","163,07","159,18","25,76M","-1,14%"
"23.04.2019","162,42","163,50","163,85","160,91","15,16M","-0,66%"
"22.04.2019","163,50","163,21","164,34","162,76","8,95M","0,57%"
"19.04.2019","162,57","161,95","162,57","161,50","3,85M","0,48%"
"18.04.2019","161,79","163,75","163,79","160,85","19,65M","-1,35%"
"17.04.2019","164,00","163,40","165,40","162,40","28,49M","1,08%"
"16.04.2019","162,24","158,99","163,42","158,21","27,28M","2,47%"
"15.04.2019","158,33","160,00","160,60","157,62","18,39M","-0,50%"
"12.04.2019","159,12","158,51","160,46","157,90","29,34M","0,68%"
"11.04.2019","158,04","162,38","162,95","158,04","44,98M","-2,97%"
"10.04.2019","162,88","162,40","164,95","162,12","38,96M","0,11%"
"09.04.2019","162,70","160,41","163,35","159,80","40,15M","1,37%"
"08.04.2019","160,50","158,81","160,88","158,81","25,83M","1,20%"
"05.04.2019","158,60","158,33","159,50","157,87","22,89M","-0,18%"
"04.04.2019","158,89","156,75","158,89","156,40","23,00M","1,21%"
"03.04.2019","156,99","155,30","157,58","155,30","33,85M","1,28%"
"02.04.2019","155,00","154,85","155,80","153,30","30,99M","0,30%"
"01.04.2019","154,53","150,28","154,81","149,92","37,03M","3,29%"
"29.03.2019","149,61","150,17","151,64","149,13","26,45M","-0,25%"
"28.03.2019","149,98","149,79","150,75","148,83","16,39M","0,33%"
"27.03.2019","149,49","150,88","151,44","149,03","23,94M","-1,08%"
"26.03.2019","151,12","151,99","152,91","150,83","21,64M","-0,77%"
"25.03.2019","152,29","151,21","152,29","150,72","22,54M","0,00%"
"22.03.2019","152,29","155,02","155,02","151,85","23,21M","-1,96%"
"21.03.2019","155,33","156,40","156,70","154,52","28,16M","-0,49%"
"20.03.2019","156,09","155,51","156,14","154,00","20,10M","0,38%"
"19.03.2019","155,50","155,84","156,45","154,60","17,54M","-0,22%"
"18.03.2019","155,84","154,20","156,48","153,60","22,07M","0,83%"
"15.03.2019","154,56","152,98","154,56","152,11","33,33M","1,23%"
"14.03.2019","152,68","153,39","154,40","152,53","19,96M","-0,40%"
"13.03.2019","153,30","151,10","153,30","150,66","18,55M","1,09%"
"12.03.2019","151,64","152,24","152,95","150,84","15,49M","0,03%"
"11.03.2019","151,60","151,90","152,47","150,51","19,52M","-0,20%"
"07.03.2019","151,90","154,01","154,19","151,58","19,67M","-1,49%"
"06.03.2019","154,20","153,31","154,45","153,07","17,14M","0,65%"
"05.03.2019","153,20","154,05","154,65","153,11","20,13M","-0,78%"
"04.03.2019","154,40","156,75","156,76","154,40","17,20M","-1,47%"
"01.03.2019","156,71","158,92","159,55","156,31","21,89M","-1,43%"
"28.02.2019","158,99","156,22","159,25","156,02","34,68M","1,66%"
"27.02.2019","156,40","155,70","157,15","154,82","19,72M","0,67%"
"26.02.2019","155,36","153,95","155,36","152,82","18,30M","0,49%"
"25.02.2019","154,60","155,01","155,37","153,56","14,81M","-0,03%"
"22.02.2019","154,64","153,51","155,65","153,49","13,20M","0,74%"
"21.02.2019","153,50","154,84","155,41","153,01","15,22M","-0,60%"
"20.02.2019","154,43","154,65","155,66","153,67","21,15M","0,26%"
"19.02.2019","154,03","156,41","157,14","153,36","20,05M","-1,53%"
"18.02.2019","156,43","159,25","159,90","156,14","17,78M","-1,64%"
"15.02.2019","159,04","155,99","159,04","155,89","24,57M","2,51%"
"14.02.2019","155,15","157,35","158,74","155,15","38,38M","-2,59%"
"13.02.2019","159,27","164,00","164,28","159,27","22,01M","-2,69%"
"12.02.2019","163,68","161,50","163,68","160,75","14,99M","1,48%"
"11.02.2019","161,29","160,40","162,30","160,18","19,13M","0,93%"
"08.02.2019","159,80","159,16","161,36","158,11","19,42M","-0,37%"
"07.02.2019","160,39","162,89","163,44","159,10","23,54M","-1,73%"
"06.02.2019","163,21","164,41","164,67","163,07","9,55M","-0,63%"
"05.02.2019","164,25","163,45","165,43","162,54","13,71M","0,64%"
"04.02.2019","163,20","163,49","165,00","162,81","11,46M","-0,08%"
"01.02.2019","163,33","162,49","164,37","161,75","23,09M","0,31%"
"31.01.2019","162,82","166,00","166,49","162,55","30,70M","-1,56%"
"30.01.2019","165,40","162,51","165,84","162,26","25,11M","1,50%"
"29.01.2019","162,95","160,10","162,98","159,00","22,82M","1,49%"
"28.01.2019","160,56","162,40","163,58","159,82","23,90M","-1,39%"
"25.01.2019","162,82","161,61","162,82","160,18","19,77M","1,19%"
"24.01.2019","160,90","159,78","162,78","158,86","35,66M","0,63%"
"23.01.2019","159,90","158,24","159,90","158,02","14,57M","0,88%"
"22.01.2019","158,50","157,86","158,50","156,57","18,84M","0,13%"
"21.01.2019","158,30","159,02","160,07","158,01","11,92M","-0,57%"
"18.01.2019","159,20","158,16","159,20","157,43","18,27M","1,34%"
"17.01.2019","157,10","157,40","157,40","155,60","16,24M","0,13%"
"16.01.2019","156,90","158,50","158,75","155,80","20,87M","-0,79%"
"15.01.2019","158,15","160,97","161,50","157,35","20,87M","-1,45%"
"14.01.2019","160,48","159,70","160,75","159,20","12,59M","-0,32%"
"11.01.2019","161,00","160,20","161,13","159,80","17,61M","0,50%"
"10.01.2019","160,20","159,75","160,20","157,56","19,95M","-0,02%"
"09.01.2019","160,24","158,88","160,40","158,40","19,15M","1,25%"
"08.01.2019","158,26","158,75","158,94","156,55","17,04M","-0,56%"
"04.01.2019","159,15","156,71","159,15","156,71","14,56M","1,84%"
"03.01.2019","156,28","154,13","157,30","154,11","14,18M","1,81%"
"29.12.2018","153,50","153,69","153,73","152,82","2,90M","0,33%"
"28.12.2018","153,00","151,68","153,80","151,16","14,22M","1,54%"
"27.12.2018","150,68","151,00","152,40","150,06","16,36M","1,53%"
"26.12.2018","148,41","147,47","149,66","147,36","8,59M","0,95%"
"25.12.2018","147,01","148,36","148,49","145,02","13,18M","-1,82%"
"24.12.2018","149,73","150,66","151,15","148,93","10,71M","-0,92%"
"21.12.2018","151,12","151,45","152,27","150,32","24,62M","-0,76%"
"20.12.2018","152,27","150,22","152,38","149,70","27,35M","-0,46%"
"19.12.2018","152,98","151,01","153,79","150,71","19,87M","0,72%"
"18.12.2018","151,89","152,40","152,42","150,05","30,10M","-1,07%"
"17.12.2018","153,53","155,40","156,41","152,93","18,36M","-1,20%"
"14.12.2018","155,40","155,91","155,98","153,51","13,74M","-0,70%"
"13.12.2018","156,49","154,95","156,49","153,25","19,68M","0,45%"
"12.12.2018","155,79","158,00","158,09","154,00","32,73M","-1,77%"
"11.12.2018","158,60","160,80","161,27","157,69","24,95M","-1,49%"
"10.12.2018","161,00","161,50","162,50","160,68","13,64M","-1,23%"
"07.12.2018","163,00","160,81","163,15","159,67","29,92M","1,48%"
"06.12.2018","160,62","162,90","163,00","159,00","30,37M","-2,40%"
"05.12.2018","164,57","161,23","164,57","160,31","23,41M","0,23%"
"04.12.2018","164,20","164,94","165,00","162,30","21,85M","-0,73%"
"03.12.2018","165,40","164,27","166,65","163,81","39,36M","2,55%"
"30.11.2018","161,29","164,40","164,65","160,25","34,06M","-2,24%"
"29.11.2018","164,99","166,60","167,36","163,60","43,34M","-0,36%"
"28.11.2018","165,58","154,21","166,10","154,00","75,59M","7,66%"
"27.11.2018","153,80","149,92","154,27","149,80","20,11M","2,86%"
"26.11.2018","149,53","151,51","151,79","146,30","30,53M","-1,49%"
"23.11.2018","151,79","153,43","153,67","150,30","19,15M","-1,38%"
"22.11.2018","153,91","152,44","154,40","152,02","11,61M","0,99%"
"21.11.2018","152,40","151,23","152,75","151,13","15,58M","0,59%"
"20.11.2018","151,51","153,80","154,00","150,30","17,17M","-1,68%"
"19.11.2018","154,10","153,50","155,00","153,42","18,74M","0,61%"
"16.11.2018","153,16","154,48","154,76","151,54","22,64M","-0,64%"
"15.11.2018","154,14","152,77","155,21","152,60","29,42M","1,51%"
"14.11.2018","151,85","148,30","152,18","147,55","29,95M","2,03%"
"13.11.2018","148,83","150,48","151,50","148,80","28,46M","-1,37%"
"12.11.2018","150,89","153,34","153,90","150,80","18,24M","-1,50%"
